gyi	gyi	**s:Renaud:Bajele**
Shastan	Shastan	**hvb:Golla:California**
Kiwaian	Kiwaian	**hvld:Wurm:Kiwaian**
Coastal Tor	Coastal Tor	**hwsoc:LeeWambaliau:Kwanem**
Angan	Angan	**hvphon:Lloyd:Angan**:36
Norman Pama	Norman Pama	**hv:Black:Norman-Pama**
ktr	ktr	**h:Kroeger:Dusunic**
ktl	ktl	**h:Windfuhr:New-Iranian**:248
NOCODE_Bapen	NOCODE_Bapen	**w:SantosFerry:Wey-Pe**:82 **vld:Ferry:Bapen**:353-354
ktd	ktd	**s:Platt:Gugada**:1
ktf	ktf	**h:Biebuyck:Lega**
kta	kta	**hv:Sidwell:Cua-EBahnaric**
ktc	ktc	**hld:JungraithmayrLeger:Bole-Tangale**
Phay-Mal-Tin	Phay-Mal-Tin	**hv:Filbeck:Tin** **hv:Rischel:Mlabri-Mon-Khmer**
lbu	lbu	**hv:Holzknecht:Labu**
ral	ral	**hvw:Grierson:3:III**
Paresi-Saraveka-Saluma	Paresi-Saraveka-Saluma	**hv:Danielsen:Baure-Personal**
Waka-Kabic	Waka-Kabic	**hvwphon:Holmer:South-Eastern-Queensland**
Bisaya-Lotud	Bisaya-Lotud	**hv:Lobel:Southwest-Sabah**
Blue_Nile_Mao	Blue Nile Mao	**hv:Fleming:Mao:2007**
lbm	lbm	**s:Dasgupta:Lodha**:152-153
ray	ray	**v:Walworth:Old-Rapa**
Egyptian	Egyptian	**hv:Satzinger:Egyptian**
Balkan Romance	Balkan Romance	**hv:Rosetti:Romane**
Muna-Buton	Muna-Buton	**hv:vandenBerg:Muna-Buton:2003** **hv:Donohue:Muna-Buton**
Mnong	Mnong	**hv:Blood:Mnong**
vgr	vgr	**hsoc:Rahman:Pakistan**
Trans-Zab	Trans-Zab	**hv:Mutzafi:Trans-Zab**
East_Strickland	East Strickland	**hvw:Shaw:Bosavi** **e:Dwyeretal:Kubo-Febi-Konai**
thi	thi	**hv:Edmondson:Shan**
tyj	tyj	**phon:Ferlus:Tai-Nghe-An**
Crimean Tatar-Urum	Crimean Tatar-Urum	**s:Podolsky:Urum**
tya	tya	**hv:Pawley:Proto-Trans-New-Guinea-Obstruents**
Mangbetu-Asua	Mangbetu-Asua	**phon:Demolin:Mangbetu**
Burmo-Qiangic	Burmo-Qiangic	**hv:JacquesMichaud:Naxi-Na-Laze**
tyt	tyt	**phon:DonaldsonEdmondson:Tay-Tac**
Khandesic	Khandesic	**hvwt:Grierson:9:III**
Koongo-Kituba	Koongo-Kituba	**s:Mufwene:Kituba**
Timor-Alor-Pantar	Timor-Alor-Pantar	**hv:Schapperetal:Timor-Kisar-Alor-Pantar**
Sindhi-Lahnda	Sindhi-Lahnda	**hv:Masica:Indo-Aryan**
Andic	Andic	**hv:Gudava:Andijskix**
Manambu-Yalaku	Manambu-Yalaku	**typ:Aikhenvald:Yalaku**:242-243
Igboid	Igboid	**hv:Williamson:Igboid**
abg	abg	Pace **el:Tupper:Abaga** and **hvld:McElhanon:NETNG**:543 lower numerals **hld:Lean:EHighlands**:27-29 and other items of basic vocabulary look similar to their Eastern Highlands counterparts especially with in the Kamano-Yagaria group
Koyo-Mboshi	Koyo-Mboshi	**hv:Bastinetal:Bantu**:205 **hphontyp:NdingaOba:Congo-Brazzaville**
Arakanese-Marma	Arakanese-Marma	**phon:Bradley:Arakanese**
West Germanic	West Germanic	**hv:Stiles:West-Germanic** **hv:Harbert:Germanic**
doy	doy	**hv:Blench:Dompo**
NOCODE_Jova	NOCODE_Jova	**hv:Miller:Uto-Aztecan:1983**:122 **hbld:Shaul:Opatan**:224
Bodic	Bodic	**hv:vanDriem:Himalayas**
pkr	pkr	**hsoc:Mathew:Wayanad**
Cushitic	Cushitic	**hv:Tosco:Cushitic** **hv:Kiessling:South-East-Cushitic**
Leseic	Leseic	**g:Vorbichler:Balese**:1-13
Surmic	Surmic	**hv:Yigezu:Surmic**
Western Iranian	Western Iranian	**hv:Schmitt:Iranischen**
Chonan	Chonan	**hv:ViegasBarros:Patagonia**:47-68
Jala	Jala	**hv:Baker:Gunwinyguan**
Greater Luyana	Greater Luyana	**hv:Lisimba:Luyana**
Arawan	Arawán	**hv:Dienst:Arawan**
Dutch Caribbean Creole	Dutch Caribbean Creole	**vw:Robertson:Berbice-Skepi**
Phunoi-Coong	Phunoi-Coong	**hld:Edmondson:Central-Southern-Loloish**
Trukic	Trukic	**hvw:Jackson:Trukic**
NOCODE_Rengmitca	NOCODE_Rengmitca	**vtyp:Peterson:Rengmitca**
Musguic	Musguic	**hv:Gravina:Central-Chadic**:60 **hv:Tourneux:Musgu**
Gresi-Kemtuik	Gresi-Kemtuik	**hv:Fautngil:Grime** **g:Anceaux:Nimboran**:2
Nabak-Momolili	Nabak-Momolili	**hv:HooleyMcElhanon:Morobe**:1071
Nabi-Irarutu	Nabi-Irarutu	**g:Jackson:Irarutu**:11-12, 325-420
kub	kub	**hvtyp:Prischnegg:Yukuben** **hvw:Shimizu:Jukunoid**
Trique	Trique	**hv:Matsukawa:Triqui**
Mayabic	Mayabic	**hvs:Breen:Mayi** **hv:BowernAtkinson:Pama-Nyungan**
Osage-Kansa	Osage-Kansa	**s:Rankin:Quapaw**:455
Southern Tibetic	Southern Tibetic	**hv:Tournadre:Tibetic**
Mono-Uruavan	Mono-Uruavan	**hv:EvansPalmer:Southern-Bougainville**
Marrngu	Marrngu	**hv:BowernAtkinson:Pama-Nyungan**
nuw	nuw	Pace **vw:Sakiyama:Nguluwan** Nguluwan is easily a Yapese variety with some influence from Ulithian but not an intertwined language
