xib	0.212401	40.62396	Eurasia	2013
xii	20.72598	-28.42578	Africa	
NOCODE_Old-Cayman-Sign			North America	
xil			Eurasia	
xin	-89.82346	14.31028	North America	2013
xip	-68.83333	-8.74999	South America	2013
xir	-62.54131	2.69932	South America	2013
xiy	-49.948	-4.133	South America	
NOCODE_Rocorona	-63.9917	-12.683215	South America	2013
nzs	175.77257	-39.29225	Papua	
nzu	15.2047	-2.65261	Africa	
nzz	-3.02	14.49	Africa	2013
nzy	15.6675	7.667445	Africa	
nzb	12.706345	-2.18115	Africa	
nza	10.70849	6.983995	Africa	
NOCODE_Bapen			Africa	2013
nzk	22.825365	4.795675	Africa	
nzi	-2.811235	5.1785	Africa	
nzm	93.64627	25.3499	Eurasia	
NOCODE_Solombala-English			Eurasia	2013
vgt	4.31312	50.8021	Eurasia	
vgr	68.6051	26.14035	Eurasia	
NOCODE_Broken-Slavey			North America	
lpx	32.75337	4.6986	Africa	
lpo	101.302	25.226	Eurasia	
lpn			Eurasia	
lpe	140.46393	-4.1059	Papua	
lpa	168.20204	-17.6042	Papua	
NOCODE_Guachipas			South America	2013
ztm	-96.33623	16.22016	North America	
ztl	-96.1636	16.06761	North America	
ztn	-96.35115	17.04461	North America	
zte	-97.19119	16.8693	North America	
ztg	-96.19267	15.97478	North America	
NOCODE_Oyster-Bay-Big-River-Little-Swanport	147.50061	-42.307378	Australia	2013
zty	-96.19804	17.28877	North America	
ztx	-96.82337	17.00245	North America	
ztu	-96.45715	16.88241	North America	
ztt	-96.88757	17.09436	North America	
ztq	-96.15551	16.34158	North America	
ztp	-96.69968	15.8442	North America	
zts	-96.63213	16.85291	North America	
NOCODE_Gudjal	144.6482584	-19.44157406	Australia	2013
NOCODE_Millcayac	-67.569581	-31.79729	South America	2013
NOCODE_Keresan-Pueblo-Sign			North America	
NOCODE_Cotoxo	-39.43634	-14.990954	South America	2013
irx	133.51841	-3.53189	Papua	
iry	120.64995	13.38103	Papua	
irr	106.56415	15.71875	Eurasia	
iru	79.95209	12.70645	Eurasia	
irh	133.58624	-2.94438	Papua	
iri	8.6525	9.85197	Africa	
irk	35.29393	-4.19948	Africa	
NOCODE_Patagon			South America	2013
irn	-57.98063	-12.71782	South America	
xve			Eurasia	2013
ire	135.02456	-3.62803	Papua	
wtw	120.90044	-2.59593	Papua	
cuu	101.89865	23.56897	Eurasia	
rgs	108.31809	11.30027	Eurasia	
wtf	145.65507	-5.82002	Papua	
wth				2013
wti	34.70415	10.647405	Africa	
wtk	143.00482	-4.58965	Papua	
wtm	76.947	27.736	Eurasia	
rgu	123.31084	-10.55153	Papua	
